Gottingen 226 (MVA H.36) airfoil   /tracfoil
1.00000  0.00100
0.94955  0.01771
0.89913  0.03393
0.79830  0.06686
0.69757  0.09529
0.59701  0.11722
0.49660  0.13316
0.39644  0.13961
0.29644  0.13956
0.19680  0.12552
0.14714  0.11225
0.09765  0.09199
0.07299  0.07886
0.04841  0.06253
0.02393  0.04211
 0.011740 0.029800  
 0.008662 0.025967  
 0.005786 0.021872  
 0.003270 0.017588  
 0.001275 0.013186  
 -0.000041 0.008739  
 -0.000519 0.004320
 0.000000 0.000000  
 0.001092 -0.003085  
 0.002727 -0.006035  
 0.004814 -0.008810  
 0.007265 -0.011368  
 0.009990 -0.013668  
 0.012900 -0.015670  
0.02553 -0.02085
0.05062 -0.02421
0.07563 -0.02457
0.10059 -0.02294
0.15048 -0.01886
0.20033 -0.01289
0.29995  0.00215
0.39957  0.01669
0.49927  0.02873
0.59909  0.03578
0.69904  0.03783
0.79923  0.03038
0.89959  0.01594
0.94980  0.00772
1.00000 -0.00100
